file_path,filename,dataset_source,modality,split,label,label_int,format,specs,size_bytes
C:\Users\paruc\Downloads\archive\1000_videos\train\real\129_10.png,129_10.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,25094
C:\Users\paruc\Downloads\archive\1000_videos\train\real\129_2.png,129_2.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28267
C:\Users\paruc\Downloads\archive\1000_videos\train\real\129_3.png,129_3.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27140
C:\Users\paruc\Downloads\archive\1000_videos\train\real\129_4.png,129_4.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,29985
C:\Users\paruc\Downloads\archive\1000_videos\train\real\129_5.png,129_5.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27187
C:\Users\paruc\Downloads\archive\1000_videos\train\real\129_6.png,129_6.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28371
C:\Users\paruc\Downloads\archive\1000_videos\train\real\129_7.png,129_7.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27147
C:\Users\paruc\Downloads\archive\1000_videos\train\real\129_8.png,129_8.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27822
C:\Users\paruc\Downloads\archive\1000_videos\train\real\129_9.png,129_9.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28106
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_0.png,130_0.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27972
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_1.png,130_1.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28418
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_10.png,130_10.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28998
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_11.png,130_11.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28097
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_12.png,130_12.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26555
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_13.png,130_13.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28783
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_14.png,130_14.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28035
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_15.png,130_15.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26819
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_16.png,130_16.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27198
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_17.png,130_17.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26828
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_18.png,130_18.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27596
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_19.png,130_19.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28390
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_2.png,130_2.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26910
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_20.png,130_20.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27802
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_21.png,130_21.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27705
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_22.png,130_22.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28466
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_23.png,130_23.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26785
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_24.png,130_24.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28060
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_25.png,130_25.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27699
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_3.png,130_3.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26972
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_4.png,130_4.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26560
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_5.png,130_5.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27603
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_6.png,130_6.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28604
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_7.png,130_7.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27812
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_8.png,130_8.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27418
C:\Users\paruc\Downloads\archive\1000_videos\train\real\130_9.png,130_9.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27074
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_0.png,131_0.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28111
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_1.png,131_1.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,22044
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_10.png,131_10.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24156
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_11.png,131_11.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27923
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_12.png,131_12.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24810
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_13.png,131_13.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24691
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_14.png,131_14.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,25624
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_15.png,131_15.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,29036
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_16.png,131_16.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,25702
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_17.png,131_17.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24363
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_18.png,131_18.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24130
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_19.png,131_19.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27168
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_2.png,131_2.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27885
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_3.png,131_3.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27708
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_4.png,131_4.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24931
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_5.png,131_5.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24978
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_6.png,131_6.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,25671
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_7.png,131_7.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,25484
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_8.png,131_8.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,25560
C:\Users\paruc\Downloads\archive\1000_videos\train\real\131_9.png,131_9.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26014
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_0.png,132_0.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26890
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_1.png,132_1.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26633
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_10.png,132_10.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28266
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_11.png,132_11.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26408
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_12.png,132_12.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26459
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_13.png,132_13.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26795
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_14.png,132_14.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26741
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_15.png,132_15.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27580
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_2.png,132_2.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27004
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_3.png,132_3.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28354
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_4.png,132_4.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26539
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_5.png,132_5.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,26452
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_6.png,132_6.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28269
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_7.png,132_7.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,25939
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_8.png,132_8.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28288
C:\Users\paruc\Downloads\archive\1000_videos\train\real\132_9.png,132_9.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,25950
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_0.png,133_0.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23702
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_1.png,133_1.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23509
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_10.png,133_10.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23899
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_11.png,133_11.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23286
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_12.png,133_12.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23557
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_13.png,133_13.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23703
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_14.png,133_14.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24524
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_15.png,133_15.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23910
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_16.png,133_16.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24772
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_17.png,133_17.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24424
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_18.png,133_18.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23656
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_19.png,133_19.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24069
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_2.png,133_2.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23978
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_20.png,133_20.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24712
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_21.png,133_21.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23774
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_22.png,133_22.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24186
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_23.png,133_23.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24248
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_24.png,133_24.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24322
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_3.png,133_3.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23833
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_4.png,133_4.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23721
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_5.png,133_5.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24133
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_6.png,133_6.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23233
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_7.png,133_7.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,25109
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_8.png,133_8.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,24029
C:\Users\paruc\Downloads\archive\1000_videos\train\real\133_9.png,133_9.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,23255
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_0.png,134_0.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,27283
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_1.png,134_1.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,29417
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_10.png,134_10.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28735
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_11.png,134_11.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,29263
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_2.png,134_2.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,29455
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_3.png,134_3.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,29297
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_4.png,134_4.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,29072
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_5.png,134_5.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28654
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_6.png,134_6.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28839
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_7.png,134_7.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28764
C:\Users\paruc\Downloads\archive\1000_videos\train\real\134_8.png,134_8.png,archive_1000_videos,image,train,real,0,.png,128x128_rgb,28682
